ISIN,CH0011105639,CH0022635152,CH0022635194,CH0022635210,CH0022635301,CH0022647017,CH0022647256,CH0022647405,CH0022647835,CH0022647934,CH0022652785
SYMBOL,SNSPI,C0001T,C1000T,C2000T,C3000T,C4000T,C5000T,C6000T,C7000T,C8000T,C9000T
NAME,SWX New SPI Index TR,SPI ICB Industry 0001 Oil & Gas Total Return,SPI ICB Industry 1000 Basic Materials Total Return,SPI ICB Industry 2000 Industrials Total Return,SPI ICB Industry 3000 Consumer Goods Total Return,SPI ICB Industry 4000 Health Care Total Return,SPI ICB Industry 5000 Consumer Services Total Return,SPI ICB Industry 6000 Telecommunications Total Return,SPI ICB Industry 7000 Utilities Total Return,SPI ICB Industry 8000 Financials Total Return,SPI ICB Industry 9000 Technology Total Return
INDEX TYPE,Total Return,Total Return,Total Return,Total Return,Total Return,Total Return,Total Return,Total Return,Total Return,Total Return,Total Return
DATE,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
17.03.2020,2049.87,1000,4287.93,1724.04,4698.36,2780.44,1408.64,2078.05,3305.2,772.61,885.17
16.03.2020,1996.85,1000,4131.33,1693.22,4517.09,2707.05,1427.16,1909.39,3250.35,768.87,883.06
13.03.2020,2036.1,1000,4227.04,1763.89,4562.07,2688.39,1471.66,1897.92,3366.9,833.33,921.49
12.03.2020,2019.62,1000,4137.88,1762.03,4547.83,2641.17,1478.26,1863.21,3337.69,834.02,927.1
11.03.2020,2222.07,1000,4489.95,1953.59,4889.72,2896.62,1696.09,2008.63,3572.74,954.26,1035.36
10.03.2020,2235.37,1000,4513.34,1974.55,4938.03,2904.88,1713.8,2032.36,3645.02,954.37,1070.45
09.03.2020,2239.55,1000,4482.88,1980.39,4988.03,2896.18,1705.64,2073.58,3659.21,952.26,1083.57
06.03.2020,2365.23,1000,4711.31,2112.72,5168.39,3042.41,1829.87,2161.78,3720.67,1039.35,1167.21
05.03.2020,2458.33,1000,4838.02,2190.72,5374.42,3176.56,1857.7,2210.07,3849.26,1075.5,1208.8
04.03.2020,2485.19,1000,4938.17,2238.08,5415.04,3190.13,1915.15,2202.52,3894.99,1097.27,1230.71
03.03.2020,2448.87,1000,4887.54,2234.3,5297.11,3127.77,1933.77,2127.12,3802.56,1092.82,1221.08
02.03.2020,2398.4,1000,4762.82,2202.64,5155.11,3055.57,1897.17,2084.29,3791.56,1082.22,1180.54
28.02.2020,2368.72,1000,4687.47,2181.59,5092.35,3014.32,1885,2039.49,3707.58,1069.62,1166.72
27.02.2020,2456.98,1000,4874.62,2253.07,5237.97,3141.3,1968.54,2112.15,3828.31,1114.95,1216.44
26.02.2020,2529.16,1000,5035.49,2319.42,5391.67,3213.68,2032.04,2183.79,3908.95,1160.06,1264.88
25.02.2020,2522.64,1000,4997.99,2291.18,5394.57,3202.95,2037.87,2199.14,3890.76,1162.79,1246.96
24.02.2020,2573.55,1000,5071.43,2324.54,5453.81,3295.38,2058.57,2244.14,3932.1,1186.75,1281.58
